id,city_id,iata_code,icao_code,lat,lon
454,262,BOX,YBRL,-16.0753,136.302
455,212,BQW,YBGO,-20.14915,127.97506
456,318,BTX,YBEO,-25.6417,140.783
457,467,BUC,YBKT,-17.7486,139.534
458,495,BUY,YBUN,-33.3783,115.677
459,472,BVW,YBTV,-12.6592,142.675
460,505,BVZ,YBYS,-16.7333,125.433
461,222,BWB,YBWX,-20.8644,115.406
462,268,BYX,,-13.1981,136.22701
463,431,CBI,YCBN,-40.39016,148.01803
464,410,CBX,YCDO,-33.0644,147.209
465,417,CBY,YCBE,-19.4794,140.927
466,253,CCW,YCWL,-33.6667,136.892
467,503,CDA,YCOO,-12.9033,132.532
468,329,CDQ,YCRY,-18.225,142.258
469,470,CFI,YCFD,-17.0217,131.327
470,224,CGV,YCAG,-32.281,125.478
471,408,CLH,YCAH,-31.7733,149.61
472,259,CML,YCMW,-19.9117,138.125
473,498,CNC,YCCT,-10.05,143.07001
474,462,CQP,YCFL,-14.971,145.311
475,412,CRB,YCBR,-29.5217,148.582
476,524,CRJ,,-31.88852,132.28537
477,241,CRY,,-15.5019,128.534
478,262,CSD,,-17.948,135.916
479,421,CSI,YCAS,-28.8828,153.067
480,470,CTR,YCAC,-17.607,131.549
481,423,CUD,YCDR,-26.8,153.10001
482,400,CUG,YCUA,-33.2783,148.763
483,230,CUY,YCUE,-27.4467,117.918
484,216,CWR,YCWI,-27.71229,138.32787
485,347,CZY,YUNY,-24.5167,139.617
486,397,DBY,YDAY,-27.15852,151.26337
487,361,DDN,YDLT,-16.9917,141.317
488,357,DFP,YDDF,-16.053,143.01199
489,318,DHD,YDRH,-27.07479,141.89916
490,455,DKV,YDVR,-24.85965,129.11935
491,216,DLK,YDLK,-29.0133,138.481
492,269,DLV,YDLV,-12.55,130.685
493,467,DMD,YDMG,-17.94015,138.82024
494,359,DNB,YDBR,-16.05,142.39999
495,359,DRD,YDOR,-16.553,141.823
496,318,DRR,YDRI,-25.685,140.228
497,272,DVP,YDPD,-24.15,141.108
498,543,DVR,YDMN,-13.74981,130.69388
499,272,DYM,,-23.7617,141.145
500,545,EDD,YERL,-25.2058,133.254
501,479,EDR,YPMP,-14.8967,141.60899
502,518,EIH,YEIN,-18.5033,144.09399
503,489,EKD,YELK,-21.1725,135.444
504,266,ENB,YEEB,-29.8325,115.246
505,541,ERB,YERN,-26.2649,132.17724
506,216,ETD,YEDA,-28.7408,138.589
507,524,EUC,YECL,-31.70674,128.87718
508,211,EVD,YEVA,-18.001,134.86301
509,267,EXM,YEXM,-22.0407,114.1026
510,463,FIK,YFNE,-25.5947,134.58299
511,431,FLS,YFLI,-40.0917,147.993
512,288,FOT,YFST,-32.2042,152.479
513,381,GAH,YGAY,-25.6144,151.619
514,505,GBV,YGIB,-16.4233,126.445
515,246,GDD,YGDN,-18.6781,128.592
516,380,GEE,YGTO,-41.08,146.84
517,467,GGD,YGDS,-18.625,139.233
518,485,GIC,YBOI,-9.23278,142.218
519,347,GLG,YGLE,-24.8083,139.60001
520,494,GLM,YGLO,-22.88946,138.82183
521,376,GOO,YGDI,-28.5214,150.32001
522,216,GSN,YMGN,-31.4597,137.174
523,504,GTT,YGTN,-18.305,143.53
524,365,GVP,YGNV,-18.99688,145.01369
525,509,HAT,YHTL,-11.7369,142.577
526,366,HGD,YHUG,-20.815,144.22501
527,496,HIG,YHHY,-16.4244,143.146
528,494,HIP,YHDY,-21.321,138.296
529,488,HIS,,-20.06,148.881
530,409,HLV,,-15.6858,145.215
531,466,HMG,YHMB,-23.93,132.80499
532,470,HOK,YHOO,-18.3367,130.638
533,470,HUB,YHBR,-16.48967,130.63028
534,521,HWK,YHAW,-31.85591,138.46808
